cod,uf,precom,subitem,cod_subitem,grupo,partic,rm,peso
1201051,32,38.90952380952381,Outras bebidas alcoólicas,01201051,alimentação,.0900000035762787,3,.00097297301
1116001,43,22.22883605957031,Leite de coco,01116001,alimentação,0,4,0
1114004,23,16.58441543579102,Açaí (emulsão),01114004,alimentação,0,2,0
1106004,33,9.191944122314453,Abacate,01106004,alimentação,0,3,0
3301022,53,434.7727355957031,Reforma de estofado,03301022,utencilios do lar,.0500000007450581,5,.00055447739
1201003,23,13.13043648613292,Lanche,01201003,alimentação,1.509999990463257,2,.016568055
4201015,23,196.342067977068,Bolsa,04201015,vestuario,.1099999994039536,2,.0012069445
8101002,43,987.054,Pré-escola,08101002,educaçao,.3600000143051147,4,.0039095376
3201001,33,2344.690746309674,Refrigerador,03201001,utencilios do lar,.2899999916553497,3,.0032801719
2103049,26,107.9335098266602,Pedras,02103049,habitacao,0,2,0
1107081,32,17.14555549621582,Cupim,01107081,alimentação,0,3,0
2103041,43,64.05515289306641,Material hidráulico,02103041,habitacao,0,4,0
5102001,52,46610.60714285714,Automóvel novo,05102001,transporte,2.980000019073486,5,.032575428
4301004,33,302.4808959960938,Relógio de pulso,04301004,vestuario,.0500000007450581,3,.00056554691
2103014,26,18.31438918915145,Tinta,02103014,habitacao,.1000000014901161,2,.0010731918
1115016,15,58.96076965332031,Palmito em conserva,01115016,alimentação,0,1,0
1106011,15,6.098746776580811,Laranja - baía,01106011,alimentação,0,1,0
1116001,32,22.22883605957031,Leite de coco,01116001,alimentação,0,3,0
1105006,53,5.251999855041504,Couve-flor,01105006,alimentação,.0199999995529652,5,.00022179095
1105010,41,2.47875,Repolho,01105010,alimentação,.0299999993294477,4,.00032095003
1102012,50,2.421573802541543,Farinha de trigo,01102012,alimentação,.0799999982118607,5,.00085385703
3301022,35,695.1239316239316,Reforma de estofado,03301022,utencilios do lar,.0500000007450581,3,.00053928711
1115039,52,38.59557845452644,Sardinha em conserva,01115039,alimentação,0,5,0
4301004,29,302.4808959960938,Relógio de pulso,04301004,vestuario,.1000000014901161,2,.0010610643
5102015,53,8.675000190734863,Pedágio,05102015,transporte,0,5,0
1107099,41,14.342,Costela,01107099,alimentação,.3899999856948853,4,.0041723498
1201007,52,6.568548745312973,Refrigerante,01201007,alimentação,.3077643215656281,5,.0033642801
5102006,26,528.91748046875,Multa,05102006,transporte,.1400000005960464,2,.0015024684
1102029,53,16.63261182310589,Massa semipreparada,01102029,alimentação,.0900000035762787,5,.0009980594
1107099,50,10.63720588235294,Costela,01107099,alimentação,.3949999809265137,5,.0042159189
2101002,31,365.4976363636363,Condomínio,02101002,habitacao,1.269999980926514,3,.01359743
8104006,41,253.7008994708995,Atividades físicas,08104006,educaçao,.3600000143051147,4,.0038514005
4103031,41,65.43060606060607,Conjunto infantil,04103031,vestuario,.1500000059604645,4,.0016047502
1106015,33,3.878077030181885,Limão,01106015,alimentação,.0399999991059303,3,.0004524375
1112015,15,10.23272727272727,Pão francês,01112015,alimentação,1.019999980926514,1,.011496196
4102003,29,117.2726364135742,Agasalho feminino,04102003,vestuario,0,2,0
8104001,33,5551.88623046875,Curso preparatório,08104001,educaçao,.1500000059604645,3,.0016966407
2103032,15,18.47892857142857,Revestimento de piso e parede,02103032,habitacao,.2599999904632568,1,.0029304028
4201002,35,138.2057545696594,Sapato masculino,04201002,vestuario,.1099999994039536,3,.0011864316
2103040,41,.3283411764705882,Tijolo,02103040,habitacao,0,4,0
7202041,32,7.6,Cigarro,07202041,servicos pessoais,.300000011920929,3,.0032432433
6301007,15,3.857554483205433,Produto para higiene bucal,06301007,saude e higiene,.3400000035762787,1,.0038320653
3101003,50,835.1210708716109,Móvel para quarto,03101003,utencilios do lar,.6000000238418579,5,.0064039282
1109012,29,51.378662109375,Salame,01109012,alimentação,0,2,0
1101002,33,3.209643115773115,Arroz,01101002,alimentação,.5,3,.0056554689
1102010,35,30.14977836608887,Flocos de milho,01102010,alimentação,0,3,0
6301001,43,3.37498862234859,Produto para cabelo,06301001,saude e higiene,.6800000071525574,4,.0073846825
1104023,52,53.13964581440863,Chocolate em barra e bombom,01104023,alimentação,.0700000002980232,5,.00076519459
1112015,31,11.9788,Pão francês,01112015,alimentação,.9900000095367432,3,.010599572
1109056,32,22.3699880952381,Carne-seca e de sol,01109056,alimentação,.0700000002980232,3,.00075675675
1104004,26,2.55035087719298,Açúcar cristal,01104004,alimentação,.2300000041723251,2,.002468341
1106006,43,6.869333267211914,Banana - maçã,01106006,alimentação,0,4,0
4201003,53,129.1719411872294,Sapato feminino,04201003,vestuario,.3100000023841858,5,.0034377601
5102009,26,71.22813452111613,Acessórios e peças,05102009,transporte,.1099999994039536,2,.0011805109
2103014,33,22.34394400949726,Tinta,02103014,habitacao,.2899999916553497,3,.0032801719
3101002,35,522.9551375043748,Móvel para sala,03101002,utencilios do lar,.4000000059604645,3,.0043142969
2104008,26,3.48507783145464,Detergente,02104008,habitacao,.1599999964237213,2,.0017171067
5101002,33,17.85000038146973,Táxi,05101002,transporte,.4600000083446503,3,.0052030315
2101004,29,84.995,Taxa de água e esgoto,02101004,habitacao,1.600000023841858,2,.016977029
5104001,33,4.111218929290771,Gasolina,05104001,transporte,3.960000038146973,3,.044791315
5101026,53,179,Transporte escolar,05101026,transporte,.119999997317791,5,.0013307458
1107084,31,28.01450980392157,Contrafilé,01107084,alimentação,.4099999964237213,3,.0043897214
5102020,35,30275.48585231194,Automóvel usado,05102020,transporte,1.769999980926514,3,.019090762
3201050,26,90.34808349609375,Chuveiro elétrico,03201050,utencilios do lar,0,2,0
1107094,52,15.41421031951904,Pá,01107094,alimentação,0,5,0
1105006,35,5.251999855041504,Couve-flor,01105006,alimentação,0,3,0
2103048,41,93.93274358974359,Areia,02103048,habitacao,0,4,0
5101004,32,3.940000057220459,Trem,05101004,transporte,0,3,0
1112003,29,17.25184811418945,Biscoito,01112003,alimentação,.5899999737739563,2,.0062602786
1106027,53,3.970000028610229,Tangerina,01106027,alimentação,0,5,0
1112018,31,11.08699269636015,Pão de forma,01112018,alimentação,.0700000002980232,3,.00074946473
1102006,23,8.179558370525287,Macarrão,01102006,alimentação,.1550000011920929,2,.0017006944
7201063,31,1.9375,Jogos de azar,07201063,servicos pessoais,.4399999976158142,3,.0047109211
6101009,43,38.22775595238095,Gastroprotetor,06101009,saude e higiene,.1500000059604645,4,.0016289741
1111031,33,38.25859069824219,Manteiga,01111031,alimentação,.0900000035762787,3,.0010179845
6301006,53,16.83043706336525,Produto para pele,06301006,saude e higiene,.4699999988079071,5,.0052120876
1113013,52,3.927314758300781,Óleo de soja,01113013,alimentação,.239999994635582,5,.0026235243
1201051,32,38.90952380952381,Outras bebidas alcoólicas,01201051,alimentação,.0900000035762787,3,.00097297301
8103001,41,20.39574095719538,Caderno,08103001,educaçao,.0500000007450581,4,.0005349167
5102005,43,2747.834642857142,Seguro voluntário de veículo,05102005,transporte,.8100000023841858,4,.00879646
7101001,53,28.79610443115234,Costureira,07101001,servicos pessoais,0,5,0
4102002,35,74.99776032541023,Calça comprida feminina,04102002,vestuario,.3100000023841858,3,.0033435798
1106012,52,4.779307842254639,Laranja - lima,01106012,alimentação,0,5,0
1114004,23,16.58441543579102,Açaí (emulsão),01114004,alimentação,0,2,0
5102020,35,30275.48585231194,Automóvel usado,05102020,transporte,1.769999980926514,3,.019090762
7201019,53,619.5870347899159,Bicicleta,07201019,servicos pessoais,.1099999994039536,5,.0012198504
2103014,53,20.06665628128867,Tinta,02103014,habitacao,.1599999964237213,5,.0017743276
1104023,41,43.69936356899201,Chocolate em barra e bombom,01104023,alimentação,.0949999988079071,4,.0010163417
1103005,32,3.02805555555556,Mandioca (aipim),01103005,alimentação,0,3,0
1115058,41,8.72384615384615,Milho-verde em conserva,01115058,alimentação,.0399999991059303,4,.00042793335
6201007,26,244.1410064697266,Fisioterapeuta,06201007,saude e higiene,0,2,0
3202028,53,2101.009451226125,Computador pessoal,03202028,utencilios do lar,.3600000143051147,5,.0039922376
3102006,33,155.4516275252525,Cortina,03102006,utencilios do lar,.0900000035762787,3,.0010179845
1107018,41,13.16430445761967,Carne de porco,01107018,alimentação,.4300000071525574,4,.0046002837
1104032,26,15.04997564935065,Sorvete,01104032,alimentação,.0700000002980232,2,.00075123418
1116001,15,22.22883605957031,Leite de coco,01116001,alimentação,0,1,0
1106020,26,5.455249786376953,Maracujá,01106020,alimentação,0,2,0
4102010,29,23.45847321798848,Lingerie,04102010,vestuario,.1800000071525574,2,.0019099157
1115039,50,40.8172721862793,Sardinha em conserva,01115039,alimentação,.0299999993294477,5,.00032019638
3202001,23,2350.955017235216,Televisor,03202001,utencilios do lar,.4600000083446503,2,.0050472221
7201023,52,86.57255554199219,Brinquedo,07201023,servicos pessoais,.2000000029802322,5,.0021862704
1107089,29,20.858125,Patinho,01107089,alimentação,0,2,0
8101002,32,656.8064452798664,Pré-escola,08101002,educaçao,.2700000107288361,3,.0029189188
5102006,35,528.9174999999999,Multa,05102006,transporte,.1400000005960464,3,.0015100038
